StartDate;EndDate;Progress;Duration (in seconds);RecordedDate;UserLanguage;Informed consent;T1E_1;T2E_1;T3E_1;T4E_1;T5N_1;T6N_1;T7N_1;T8N_1;F1E_1;F2E_1;F3E_1;F4E_1;F5N_1;F6N_1;F7N_1;F8N_1;T1EE_1;T2EE_1;T3EE_1;T4EE_1;T5NE_1;T6NE_1;T7NE_1;T8NE_1;F1EE_1;F2EE_1;F3EE_1;F4EE_1;F5NE_1;F6NE_1;F7NE_1;F8NE_1;T1N_1;T2N_1;T3N_1;T4N_1;T5E_1;T6E_1;T7E_1;T8E_1;F1N_1;F2N_1;F3N_1;F4N_1;F5E_1;F6E_1;F7E_1;F8E_1;T1NE_1;T2NE_1;T3NE_1;T4NE_1;T5EE_1;T6EE_1;T7EE_1;T8EE_1;F1NE_1;F2NE_1;F3NE_1;F4NE_1;F5EE_1;F6EE_1;F7EE_1;F8EE_1;CRT1_1;CRT1_2;CRT1_3;CRT3_1;CRT3_2;CRT3_3;Educational level;Gender;Gender_4_TEXT;Age_1;Pol. partisanship _1;Series
02/05/2025 08:30;02/05/2025 08:45;100;899;02/05/2025 08:45;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;7;4;0;0;7;1;8;1;2;0;2;1;0;0;0;3;3;3;9;9;10;9;7;7;3;9;7;8;6;9;8;8;50;20;1;8;june;5;1;;33;2;B
02/05/2025 08:31;02/05/2025 08:46;100;906;02/05/2025 08:46;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;8;5;0;0;7;6;10;5;4;0;10;0;0;0;0;10;10;5;6;10;5;10;10;1;10;10;4;10;6;10;10;8;10;20;2;7;April;6;1;;22;5;B
02/05/2025 08:32;02/05/2025 08:46;100;819;02/05/2025 08:46;EN;1;8;7;4;3;3;7;6;3;1;2;1;4;7;5;2;4;10;10;8;7;9;6;9;6;9;8;6;7;8;8;8;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;10;20;2;8;Emily;5;1;;31;5;A
02/05/2025 08:30;02/05/2025 08:46;100;961;02/05/2025 08:46;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;6;2;7;1;8;9;7;1;8;0;1;3;1;2;1;5;5;7;2;3;4;7;8;3;8;7;5;3;6;9;7;8;10;39;2;8;Emily;6;1;;29;3;B
02/05/2025 08:30;02/05/2025 08:46;100;942;02/05/2025 08:46;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;7;6;4;5;7;7;7;5;3;6;8;7;6;6;5;7;7;5;6;8;6;7;7;7;6;7;8;5;5;5;7;8;50;20;1;7;June;6;1;;30;5;B
02/05/2025 08:30;02/05/2025 08:46;100;969;02/05/2025 08:46;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;4;5;6;3;7;6;6;3;8;3;8;3;5;3;2;2;10;2;1;10;6;7;7;1;9;2;1;1;1;9;1;8;50;20;2;8;Emily;5;2;;26;2;B
02/05/2025 08:32;02/05/2025 08:47;100;882;02/05/2025 08:47;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;7;8;8;8;9;9;8;3;2;2;7;2;1;1;1;7;8;6;7;10;7;6;6;4;7;8;7;9;3;10;9;4;10;39;2;8;Emily;5;1;;37;6;B
02/05/2025 08:31;02/05/2025 08:47;100;961;02/05/2025 08:47;EN;1;1;6;3;3;4;7;6;7;3;0;1;0;8;5;1;1;8;6;8;7;4;8;8;9;4;10;7;9;3;3;9;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;5;480;2;7;Emily;6;1;;31;5;A
02/05/2025 08:31;02/05/2025 08:47;100;949;02/05/2025 08:47;EN;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;6;1;6;1;4;6;6;7;2;1;5;1;6;0;1;6;10;8;5;7;4;8;8;3;10;7;5;4;7;10;6;8;50;20;2;7;June;5;1;;48;1;B
02/05/2025 08:31;02/05/2025 08:47;100;956;02/05/2025 08:47;EN;1;2;7;6;1;1;6;5;9;0;1;3;3;1;0;0;0;4;8;8;4;4;3;2;9;4;8;7;7;2;4;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;50;20;2;8;Emily;6;1;;46;4;A
